-16,4,2,1,3,-6,-14,-10,
7,9,-31,14,1,-2,9,-13,
-14,0,-37,0,-3,-20,-36,-4,
11,12,-36,10,-1,1,62,5,
-1,9,-11,1,4,-1,8,-5,
3,-13,42,10,2,5,45,6,
18,0,-34,-33,5,9,7,8,
11,3,-43,-4,0,-6,28,-2,
4,8,-26,42,3,-9,-30,-4,
-19,-3,-55,-30,-4,-26,-63,-18,
12,17,-1,19,9,12,12,10,
6,-2,-17,1,2,6,-38,4,
-2,-18,-32,2,0,6,-32,11,
-1,-10,-43,-36,-2,-4,14,3,
23,2,-30,7,4,-3,28,5,
-2,-2,-25,-6,-5,-15,13,-3,
1,-38,-26,2,-2,-5,24,-3,
7,7,-35,-32,5,16,51,9,
0,3,-61,-35,-7,-13,-14,-2,
21,14,-31,-6,1,0,8,7,
-3,10,8,-4,0,3,17,-3,
-5,-2,-80,-24,-10,-29,-17,-8,
-3,-6,42,5,-6,-5,8,3,
16,0,92,-4,1,4,-1,6,
3,-14,21,-14,-2,-4,19,6,
5,-6,-20,-4,-9,-14,-4,7,
1,-1,-92,-19,-6,-11,-1,0,
-2,8,34,-4,-4,-1,-2,15,
7,11,46,5,1,-2,0,2,
5,-48,60,29,7,7,14,1,
5,-12,-85,-18,0,-20,-37,2,
3,-17,-42,0,3,8,1,-4,
5,3,91,44,4,14,15,7,
17,2,-42,12,-3,4,-8,-1,
-13,-34,-20,-74,-21,-2,-6,-40,
-2,-6,5,9,2,0,-12,-1,
26,7,40,41,6,5,12,6,
0,-6,43,-2,-1,-9,-33,2,
1,16,-16,-4,4,5,38,0,
-21,-1,0,4,-2,-11,51,-8,
-6,-16,-17,-4,-5,-10,-28,-1,
-3,-11,11,5,-1,9,22,-3,
10,26,8,10,4,-4,-6,6,
13,-4,81,17,-5,7,-3,-3,
-4,-4,-75,-26,-6,-5,-14,1,
2,7,-41,-3,-7,-16,-27,12,
28,-12,-97,-54,-3,-1,-5,3,
1,5,68,38,6,-7,-4,-7,
-9,11,73,19,0,-1,5,-5,
5,26,56,1,5,9,34,3,
-7,5,-20,-2,-3,-14,-39,-24,
0,-17,-34,6,-7,2,-8,6,
-4,18,30,12,1,0,-23,8,
-1,5,56,-2,2,3,-15,-1,
-6,6,-15,-13,1,-4,-3,5,
-12,14,-105,-37,-5,-8,15,-1,
3,16,-39,-2,1,-7,-14,6,
9,-40,21,1,3,10,4,2,
34,-16,87,15,-10,-17,9,6,
-11,-47,-48,-34,-6,-11,38,-11,
18,10,-26,-17,-3,3,-9,-8,
-1,-7,21,10,2,6,12,6,
6,8,55,18,0,-3,-1,3,
22,-7,-22,4,-2,0,6,7,
-6,-4,48,34,4,2,-15,3,
1,-1,29,-9,4,10,5,11,
20,-11,-3,1,1,-17,-42,-10,
3,-7,59,37,5,1,21,1,
3,-12,-1,7,-4,-2,40,-1,
4,-4,5,-1,-2,-3,-8,-3,
0,15,70,11,-5,-7,-1,-2,
-5,4,69,11,-1,0,-17,0,
0,-7,-14,-15,-4,-16,5,6,
12,-28,-41,-10,-2,-13,37,-13,
-17,3,-56,-21,-4,22,14,1,
1,-1,17,8,3,2,0,0,
-12,-5,-10,-14,1,-12,-14,-2,
8,1,-49,-34,-9,-4,-19,-3,
-4,-5,4,1,1,3,15,0,
0,-46,-26,-10,-5,29,54,2,
-10,8,-110,-23,2,-6,-4,5,
-16,-2,-37,-55,-2,0,-19,3,
18,-3,-8,-7,-1,-5,3,-1,
2,9,84,38,3,-8,8,2,
4,-5,-3,24,7,13,14,16,
-25,-2,42,-14,-11,-6,21,9,
-37,-2,-13,-10,-3,-15,-47,-4,
21,11,-15,2,3,-1,23,-1,
9,-2,-108,-66,-7,1,18,-1,
6,12,79,22,-2,-3,3,-7,
-22,3,21,13,-6,-12,-33,-9,
-14,2,-19,-4,-5,-1,5,-22,
12,-9,-35,0,0,-12,-13,-5,
-23,1,52,17,-11,1,-15,-3,
-8,-8,54,2,-8,-5,23,0,
-1,13,-68,-31,3,-3,-3,2,
16,8,99,5,1,0,-5,2,
-21,-29,-63,-11,-4,-7,11,2,
5,-53,44,-3,-9,-8,34,4,
-16,5,15,-4,-7,-2,-3,2,
0,14,6,17,0,-12,-14,-5,
-41,4,-40,-20,1,-10,-25,-2,
11,3,64,18,3,4,6,10,
-3,-26,-65,-4,3,6,2,-2,
-10,-15,-98,-26,-2,-4,-24,3,
-14,6,66,19,4,-5,-21,-5,
3,0,-30,-4,-1,0,9,-6,
7,7,64,65,4,10,17,10,
-1,1,-5,-21,-5,-19,-52,5,
-23,-8,-18,-6,2,0,7,-7,
-20,0,-5,5,-4,-9,9,-4,
3,-13,-29,-6,-5,-26,-31,-21,
9,8,-12,-10,-2,2,23,0,
-7,-25,-84,-23,-4,1,12,-2,
19,-4,77,8,-4,-25,-45,-26,
-5,13,-29,-26,3,11,55,8,
0,-29,59,18,-10,-4,-20,7,
-12,-8,-60,-6,4,5,7,8,
1,-6,-41,12,-3,-5,-56,6,
16,-5,-40,-11,-4,-6,-4,1,
-15,-18,-48,-26,-3,-4,3,1,
-4,-2,-31,-7,0,-8,-14,-8,
-22,-29,-82,-14,-3,-5,-12,-1,
3,-12,46,-17,-7,-10,-37,-3,
0,8,49,18,2,8,14,4,
-19,-27,0,-16,4,42,88,3,
2,16,-39,-13,-3,-8,-8,2,
