X,0,0,-2,-2,-4,-1,1,1
X,0,0,1,3,1,2,-2,-7
X,0,-1,-1,-4,-1,0,0,3
X,0,0,1,-1,0,0,1,-1
X,-2,0,5,3,0,2,4,1
X,-3,-3,-3,-6,-2,0,0,1
X,-1,0,2,2,-3,-1,-2,-3
X,-1,-2,0,-1,0,1,4,0
X,1,-2,-2,-4,-4,-3,4,0
X,-3,-1,-2,0,1,-2,-1,2
X,-1,-1,-9,1,-1,-2,-3,-2
X,1,0,2,-3,1,-2,-3,-1
X,-1,-1,2,0,-4,1,0,10
X,0,-2,2,0,-3,-1,-2,-2
X,0,2,2,1,-2,-1,-4,-2
X,1,-1,5,4,2,-2,2,-1
X,-1,0,3,1,1,-3,1,0
X,0,2,4,1,0,0,-2,4
X,-2,-3,-1,-5,0,0,-1,-2
X,0,2,11,2,3,1,2,0
X,-2,-3,-1,2,0,-1,-1,0
X,1,1,3,0,-1,-3,-2,3
X,0,-1,0,-1,1,3,1,-2
X,1,-1,1,-1,2,-1,0,3
X,1,1,0,1,-1,-2,0,3
X,-1,2,0,-3,-2,-2,-4,0
X,1,-1,-1,0,1,-1,-4,0
X,-2,-1,-2,2,-1,1,1,3
X,-1,-2,-2,2,-1,0,0,-1
X,0,1,-12,0,-1,-3,-11,-9
X,-1,-3,1,-3,0,0,0,1
X,1,1,4,2,1,2,-1,-2
X,-1,-1,-3,-3,0,1,2,0
X,-1,-2,-5,-1,-2,-4,1,5
X,-1,-2,-4,1,2,2,-2,-3
X,0,0,0,4,0,-1,-4,0
X,0,0,-2,3,0,0,-2,-5
X,-3,-2,-1,-1,2,2,1,-1
X,1,-2,-1,2,-1,-2,-3,-2
X,-1,0,4,-1,-1,2,2,0
X,-2,1,-4,-1,2,-4,0,-2
X,-2,-2,-4,-2,0,0,-1,0
X,0,0,-2,-1,-2,0,2,1
X,-2,-3,-4,1,-3,-3,0,-2
X,-1,2,4,1,-2,0,1,-2
X,0,-2,2,1,0,0,-2,-2
X,-1,-1,-3,-1,0,0,2,-2
X,0,2,3,1,2,-1,-3,-1
X,-1,1,0,2,0,-1,0,-2
X,1,-1,-3,-1,1,-3,0,1
X,0,-2,-1,-3,0,0,-3,-6
X,-2,-2,0,-1,0,2,7,6
X,0,-2,-3,-4,0,-2,-4,-2
X,-3,0,0,0,-2,-4,-5,-3
X,1,1,0,-3,-1,-5,-2,1
X,-1,-1,-2,-1,-3,0,8,0
X,-1,-3,-6,-5,3,0,-2,0
X,-1,0,1,2,-3,-1,3,0
X,-1,-1,-1,2,0,-2,2,0
X,0,-2,-1,1,1,0,1,1
X,-2,-4,-4,-3,-2,-3,-3,-3
X,-1,0,-3,-2,0,1,1,0
X,-1,-3,-3,-2,-2,-3,-3,-3
X,-1,0,-2,-3,-2,-4,2,1
X,1,0,1,3,1,5,4,2
X,0,-1,-3,3,-1,-1,-4,-3
X,-2,1,1,-4,-1,3,1,0
X,0,3,1,-2,-2,-1,-1,1
X,-2,-5,-3,0,1,1,1,1
X,0,1,2,0,-1,2,-2,-1
X,1,-3,-3,-1,0,-1,-1,-1
X,-1,-4,-5,-1,1,0,-9,-5
X,-2,0,0,0,0,-1,1,1
X,1,0,-1,-4,-3,0,-3,1
X,1,0,1,2,-1,1,5,-1
X,-1,0,2,1,0,-1,-11,-9
X,0,0,-1,-1,-1,-3,5,0
X,-3,-1,-1,0,0,2,-2,-3
X,-2,-1,-2,-1,1,0,1,-1
X,-1,2,2,3,0,0,0,-1
X,-1,1,-3,-1,-1,-6,-11,-8
X,1,1,-1,-1,2,1,2,2
X,-2,-3,-8,-3,-3,0,-1,1
X,-1,-1,-1,0,-1,-3,0,-1
X,-2,-1,1,-2,1,0,-2,1
X,-3,1,0,-1,-2,-4,0,-4
X,-2,0,0,1,2,-1,-8,-2
X,0,3,2,-1,1,1,-2,-1
X,0,1,0,0,-2,2,0,0
X,-4,-2,-2,-2,-4,-1,3,3
X,-1,-2,-3,2,2,3,4,-3
X,-2,0,0,1,1,-2,0,0
X,-1,-1,0,-1,1,0,1,1
X,-2,-3,-10,-2,-3,-3,2,0
X,1,0,3,-1,0,-2,-8,-8
X,-2,-1,0,-4,1,0,0,4
X,-3,0,3,-1,-1,1,-10,-5
X,0,0,0,-2,0,-1,-7,-6
X,0,1,5,5,0,-1,-4,-2
X,-1,-2,0,3,-4,-1,2,1
X,2,-2,2,-1,-2,-1,-2,0
X,-2,-2,-3,-3,0,-3,-5,-2
X,-1,-2,6,-3,0,-1,-1,1
X,1,1,3,2,-1,1,-4,-2
X,-1,2,0,3,1,1,6,6
X,0,5,1,0,-2,0,4,3
X,-1,-5,-4,3,-2,-3,-2,0
X,0,5,1,-1,3,0,0,-3
X,1,-2,-4,0,1,0,-2,-5
X,0,0,1,2,0,-2,-2,-2
X,-1,2,-3,1,1,-1,2,1
X,0,2,3,-1,0,2,3,2
X,-1,-2,0,-3,-2,-2,-2,-1
X,1,1,0,1,1,-2,1,0
X,-2,0,-4,-2,-1,1,-4,-3
X,1,1,8,-1,2,1,3,-1
X,-1,-7,-4,-3,0,1,8,2
X,0,0,-1,-5,-5,-6,-3,-2
X,-1,0,0,-1,3,3,1,0
X,1,-1,-4,-1,-2,-1,2,1
X,-1,-1,-3,-5,1,0,2,2
X,-1,2,-3,-2,-2,2,2,-1
X,1,-2,0,11,0,-1,-2,1
X,-2,3,1,0,0,5,13,7
X,0,1,-1,-3,2,0,-4,-3
X,-3,-4,-1,1,1,3,-2,-4
X,3,4,2,-1,-2,-2,2,3
