X,1,-2,-3,-111,-16,-8,-2,-1,
X,-2,3,2,-20,-2,2,2,9,
X,-4,-8,-49,-121,-24,-9,-5,-2,
X,2,1,5,-4,2,1,2,4,
X,4,4,34,-39,0,1,1,4,
X,-6,-3,6,17,4,3,-1,1,
X,-3,3,29,-6,-6,1,-3,0,
X,5,3,13,39,5,1,1,0,
X,-1,2,27,42,5,3,2,-5,
X,-8,-6,-47,-73,-10,-6,-2,1,
X,-5,-2,-4,18,-1,-3,-3,2,
X,3,1,-16,22,6,2,0,-2,
X,0,-6,-30,-17,-1,-1,-1,-1,
X,-1,-3,-3,-38,-9,-5,-1,-5,
X,-1,-3,11,3,-2,-2,-2,-1,
X,1,10,39,61,14,4,0,1,
X,-4,-7,-40,16,1,1,0,1,
X,2,3,26,12,3,2,2,0,
X,-1,1,21,1,0,3,1,-1,
X,4,10,46,14,2,0,0,0,
X,-2,-4,7,-25,-6,-6,-3,4,
X,3,-4,-15,-27,-6,-2,-2,2,
X,-4,-1,10,6,-1,0,-2,2,
X,5,0,-17,-8,0,0,1,3,
X,-3,-2,-34,-56,-8,-5,-2,-2,
X,2,-2,-1,6,4,4,1,0,
X,1,8,60,77,14,6,0,-2,
X,-9,0,30,-20,-2,1,-2,0,
X,-2,1,8,-7,-3,-2,-1,2,
X,-8,0,16,26,3,4,2,2,
X,-1,-10,-59,-128,-14,-6,-4,-1,
X,4,0,41,-14,-2,2,-3,-3,
X,-1,1,15,-8,-1,0,2,4,
X,-5,0,17,-14,-3,-5,-2,-3,
X,1,2,14,10,-2,0,0,-1,
X,0,-2,15,-14,-8,-3,-2,-2,
X,-2,-7,-42,-43,-7,-1,1,-2,
X,-1,-17,-72,-14,-7,-2,1,1,
X,4,8,29,46,9,2,-2,4,
X,1,5,13,8,2,3,1,2,
X,0,4,17,12,3,-1,-4,-1,
X,-7,-3,-14,-5,-2,-3,2,1,
X,1,-1,17,53,8,5,1,-4,
X,3,-2,-5,6,-3,0,-1,-1,
X,-5,-6,-5,18,-1,0,-1,0,
X,-5,-3,-6,21,5,2,-1,-3,
X,-2,5,25,29,5,2,1,-4,
X,0,-4,-12,-34,-9,-5,-1,-1,
X,-1,-20,-74,-36,-12,-9,-2,-4,
X,-1,-2,-29,7,6,2,1,0,
X,1,-4,-32,-4,-2,0,0,0,
X,2,2,18,-9,-10,-8,0,-4,
X,0,0,-6,-97,-15,-6,0,0,
X,1,7,34,42,4,3,0,2,
X,-3,-7,15,12,-4,-2,-3,-6,
X,13,-2,-5,-25,-6,-1,-2,-3,
X,0,4,16,92,17,8,2,1,
X,-11,-5,-2,-47,-11,-2,-2,-1,
X,5,0,-16,2,0,1,0,1,
X,-5,-1,17,1,0,-1,-1,-2,
X,1,1,-8,22,2,0,0,-3,
X,1,-11,-24,33,3,0,-4,-7,
X,1,-2,-22,3,0,-1,0,-2,
X,-1,1,7,14,5,1,0,-2,
X,5,11,48,20,5,6,4,3,
X,-6,-2,-5,77,14,5,1,5,
X,-4,-9,9,-8,-4,-4,-3,-4,
X,-1,3,16,7,2,2,0,-2,
X,-3,-1,12,-61,-16,-7,-3,-2,
X,-8,3,1,-44,-3,0,-1,-1,
X,1,-2,-1,21,4,0,1,-2,
X,-1,-8,-44,15,1,-2,0,1,
X,3,2,11,-15,-7,-4,-2,-1,
X,0,-3,-35,27,2,0,0,1,
X,-6,0,-7,27,3,0,-3,0,
X,0,-8,-40,-13,-5,-4,-1,1,
X,-3,4,9,0,3,-1,-3,1,
X,5,10,20,27,8,5,2,0,
X,-3,-3,-17,5,2,1,1,-1,
X,4,6,21,22,4,2,0,-2,
X,2,3,36,12,6,6,1,2,
X,5,2,18,3,1,2,-5,0,
X,1,3,13,57,9,5,-11,0,
X,1,-1,15,-5,-2,-3,-4,-1,
X,1,-2,-12,-6,-2,-2,1,0,
X,-2,2,-6,-5,-1,-3,0,1,
X,3,3,9,57,10,7,3,0,
X,2,2,16,3,0,2,2,0,
X,-2,-4,-12,-5,-1,-2,-1,1,
X,-1,-3,-1,5,2,2,2,0,
X,2,2,12,11,0,3,4,4,
X,2,0,10,-4,2,0,-2,-1,
X,-4,2,-7,6,-2,1,0,-2,
X,-1,-3,5,6,5,1,-2,3,
X,1,-2,-6,7,4,1,2,1,
X,-4,-1,0,-61,-10,-3,0,-2,
X,2,5,10,29,7,4,2,-1,
X,-5,-2,-6,-30,-2,-4,-1,-2,
X,-4,-1,1,21,8,4,0,-2,
X,9,-7,-19,-10,-3,-4,-2,-1,
X,0,0,14,16,0,1,1,2,
X,-4,6,23,9,0,-1,1,0,
X,2,2,13,0,1,0,-1,-4,
X,-4,1,18,23,5,-1,-1,2,
X,-2,2,13,-10,1,0,1,1,
X,2,1,8,-7,-2,2,0,-1,
X,-5,-4,-30,-83,-20,-10,-3,-3,
X,-6,-3,-3,17,1,-1,-1,-4,
X,5,5,20,29,12,7,2,4,
X,-5,-6,-25,-7,1,-4,-3,-2,
X,1,-3,-25,-54,-7,-3,-1,-1,
X,0,3,15,1,1,2,3,2,
X,-2,-7,3,-16,-6,-4,-2,-1,
X,-2,1,13,-8,-4,-5,-3,-4,
X,-1,-3,-31,-44,-3,-1,-1,4,
X,0,-6,-35,-72,-12,-3,-4,-1,
X,-2,-3,2,-2,-2,-5,1,-1,
X,3,3,5,45,10,3,2,1,
X,0,2,4,-15,-3,-3,-1,1,
X,-6,-14,-10,16,-3,-6,-2,-4,
X,3,2,35,13,0,2,3,3,
X,1,1,12,-1,-1,-1,-2,-2,
X,1,-1,7,10,0,0,-1,0,
X,-3,-4,-10,-9,-2,-1,0,-1,
X,-3,-2,1,-10,0,1,-2,-5,
X,1,0,-10,-11,2,3,-1,0,
X,3,4,17,31,3,1,-1,1,
X,-2,2,15,-72,-12,-4,-2,1,
X,0,-7,-29,-21,-6,-4,-2,0,
X,0,-2,5,62,13,5,3,-1,
X,-2,1,11,-7,-3,-1,-2,-1,
X,4,5,25,-9,-2,3,2,-1,
X,-2,2,7,-9,1,-1,1,-1,
X,2,1,1,-10,-1,-1,-2,-3,
X,-1,-2,-12,13,2,-1,2,3,
X,-3,-3,-12,-74,-13,-3,-2,-4,
X,-2,-1,11,-21,-3,2,-2,-6,
X,6,11,26,4,1,5,1,4,
X,2,-1,-12,-37,-1,-1,0,-1,
X,0,1,6,10,0,-2,0,-1,
X,-3,0,-1,-89,-17,-4,-3,0,
X,0,-4,-29,22,2,-1,2,-1,
X,-2,4,16,-9,0,2,1,0,
X,-2,-1,8,33,6,1,-2,-1,
X,-1,2,12,-2,2,2,1,0,
