-3,4,-5,-7,-5,-3,1,-1,
-11,2,22,6,-2,-6,-2,6,
7,-1,-8,-14,-2,3,3,-1,
-9,-11,-22,-5,-1,-3,21,-12,
-12,-6,35,18,0,3,-5,-9,
-12,-13,-24,-6,0,-2,4,-6,
-4,7,5,-8,-2,-1,-7,-15,
-12,2,4,-4,0,7,8,-51,
22,-10,-6,4,3,5,-3,14,
-24,18,-8,-6,-1,-3,-2,-7,
-1,-2,0,-6,-2,-5,-9,-13,
12,7,-3,11,2,-2,-3,8,
3,12,11,-3,-5,-1,-9,4,
-10,-6,21,3,1,-3,4,1,
-9,5,6,5,-1,-6,-6,6,
-1,-14,-11,6,1,1,6,-5,
-8,8,-5,-3,1,2,10,-4,
-1,13,-37,-14,2,-2,-2,10,
1,3,6,4,4,7,10,12,
-4,-11,-20,4,4,24,-3,-1,
8,3,-24,-7,-2,-4,-4,-1,
3,-1,20,7,-6,-5,-25,62,
2,3,10,10,2,2,4,-2,
-13,-4,-15,0,1,-2,-1,-65,
-4,-18,-19,6,0,-9,-12,-11,
0,5,-9,5,2,4,-5,-16,
-11,-5,-26,-17,-3,1,1,-2,
-18,-3,-7,-3,1,0,15,-4,
4,1,-7,8,-1,-6,4,-3,
9,8,5,6,0,-2,-2,2,
-9,-4,11,11,-2,-5,1,1,
-3,-1,17,-9,-2,0,11,-6,
-6,-8,-19,6,-2,-4,-3,7,
-12,-7,-12,-9,-5,-13,4,-20,
3,-3,5,-9,-1,4,1,9,
-1,1,-6,-2,5,4,3,5,
10,2,-3,4,-4,-4,-3,0,
-8,-5,-20,-14,-2,8,32,16,
8,5,-22,-1,1,-4,-12,1,
-3,-14,-31,-6,-1,-4,13,4,
5,-3,28,7,-2,1,-6,-5,
-6,-6,6,-9,-1,-6,-6,6,
2,-6,-5,-2,-1,1,-4,35,
41,13,-58,-13,-5,2,7,24,
-12,-3,13,20,-2,-7,-6,-2,
-18,-5,82,4,-7,-7,-7,-5,
8,14,-2,4,4,-4,-11,-37,
1,0,-35,-8,1,-1,-2,4,
19,15,15,1,0,5,0,-1,
-9,-2,-9,-14,2,-1,-5,5,
-2,-2,-19,-6,-2,-2,6,3,
2,-16,15,8,-1,0,-10,6,
-26,1,2,0,-2,-6,-5,-2,
8,6,30,9,-1,-3,9,5,
7,20,-8,-22,2,7,18,3,
8,-3,-18,-9,-5,3,0,7,
2,8,17,3,-1,4,12,0,
4,-6,11,3,4,1,-5,6,
13,13,35,19,-1,-6,-11,3,
-8,-12,-40,-19,-8,-6,0,13,
-2,2,-11,-1,0,-2,-6,8,
-1,-1,-29,-7,-5,-5,-5,-4,
-10,-17,3,24,3,-4,-1,-4,
-7,4,-62,-17,1,0,-6,1,
-11,7,17,-12,-5,-3,3,-3,
19,-1,12,20,-6,-6,0,4,
9,-6,-10,1,-2,3,-5,-5,
27,15,-66,-18,-2,3,9,12,
5,3,-6,-2,0,-7,-7,-9,
-5,-4,-8,2,-1,-2,-18,-3,
