64288801550,0,-2,-2,0,0,4,3,1
64288801550,-2,-1,-3,-1,-2,-7,-1,-1
64288809432,0,0,2,1,0,4,0,0
64288809432,0,1,1,1,-1,-2,0,-2
64288810130,0,2,1,0,0,2,-1,-2
64288810130,0,1,1,-1,0,2,0,0
64288810944,0,0,-3,-1,-3,-8,4,2
64288810944,0,-2,-5,-2,-3,4,-1,1
64288816119,-3,3,0,-1,2,1,-1,0
64288816119,-2,-11,-1,0,2,3,0,-5
64288824150,1,1,2,-1,0,0,0,-2
64288824150,2,1,-1,1,4,4,0,1
64288829747,1,3,-2,-4,-9,-17,11,5
64288829747,-1,-4,2,2,3,5,-11,-3
64288845458,-1,1,1,-1,-2,-2,-3,-4
64288845458,-3,-4,-1,0,0,-1,-3,-3
64288853441,0,2,-1,1,1,2,-4,-3
64288853441,-1,2,-2,-2,0,-3,4,1
64288868455,-2,-5,1,-1,0,-1,-2,-1
64288868455,-2,4,0,-2,-1,-1,1,-1
64288882565,0,-5,-1,-2,0,0,-1,-1
64288882565,0,0,0,-2,-1,-2,0,0
64288890944,1,-2,-1,0,-1,-1,-3,0
64288890944,-1,-1,1,0,2,2,-7,-5
64288931285,1,0,0,0,0,-1,1,0
64288931285,-1,0,-1,1,-1,-2,1,-1
64288932114,-1,-2,-2,-1,0,-2,-3,-5
64288932114,-4,-2,1,2,6,9,-11,-8
64288935252,1,2,-2,0,-9,-17,-1,1
64288935252,1,-2,0,0,3,1,1,3
64288935908,-5,2,4,0,-1,-2,-2,-10
64288935908,1,-1,-2,-2,-1,-4,3,1
64288942754,-2,-3,0,-1,1,3,-1,-2
64288942754,3,1,0,0,-2,1,-1,2
64288949482,1,-1,-2,0,1,-1,0,4
64288949482,2,-1,1,-2,-3,-1,2,0
64288957048,-2,-1,-2,-1,2,4,1,0
64288957048,-1,-1,-2,-1,-1,-3,2,-2
64288972120,0,-1,-2,-2,-1,4,-7,-3
64288972120,-2,0,1,-1,-1,1,2,1
64288979588,-1,0,-2,-1,-2,-6,-6,0
64288979588,0,-3,-4,-12,-10,6,11,1
64289003470,2,-1,-1,6,0,-15,-2,5
64289003470,0,3,7,15,6,6,1,0
64289004121,0,0,-1,-2,2,-4,3,-3
64289004121,-2,-1,-1,-1,0,4,0,-1
64289017767,0,-3,-7,-19,-18,4,3,-1
64289017767,-2,-5,-12,-30,-11,-3,-6,-3
64289018453,-1,0,4,19,0,-7,-27,-3
64289018453,1,5,13,13,2,28,46,6
64289040102,1,3,13,41,48,-8,-3,1
64289040102,0,1,3,4,0,-9,-2,0
64289040898,-2,-5,-9,-22,-11,3,-3,-5
64289040898,-3,-3,-9,-14,-12,-1,-17,-2
64289063415,0,-1,-3,-10,-13,1,3,1
64289063415,2,-1,-2,-10,-8,-2,8,3
64289064057,-1,-1,0,2,3,-6,-15,-2
64289064057,-1,-2,2,15,22,6,-1,-5
64289077745,-1,-1,-2,-12,-13,2,5,-1
64289077745,-1,-1,-6,-4,-10,-21,-6,-2
64289078419,-1,-2,-7,-32,-16,13,5,0
64289078419,-2,2,2,31,10,-44,-19,-3
64289108423,1,4,15,40,42,-2,-6,2
64289108423,-1,-2,-6,-13,-10,12,-3,-1
64289109093,1,-1,5,11,-5,12,17,4
64289109093,-3,-5,-16,-47,-31,21,-17,-4
64289123328,-2,3,15,56,41,-5,28,-2
64289123328,0,2,4,-2,9,-26,-9,1
64289124102,1,3,6,5,-2,19,24,2
64289124102,-2,-3,-5,1,14,3,2,-3
64289137655,-3,-7,-17,-43,-56,-20,-27,-4
64289137655,0,0,-3,-8,-8,7,2,0
64289138428,-1,-1,-4,-9,10,27,11,2
64289138428,-1,-3,1,-6,-22,-48,-17,-3
64289160087,-3,-2,-7,-24,-11,10,-5,0
64289160087,0,0,10,29,22,34,10,1
64289160902,0,0,-1,-4,8,-24,-14,-1
64289160902,1,3,3,1,-19,-11,-11,2
64289182645,-3,-1,-5,-6,10,7,13,-1
64289182645,-1,0,-3,-8,-19,-13,-5,-1
