64370268518,0,-1,-1,-1,1,5,0,2
64370268518,0,-2,-4,-2,-2,-1,8,3
64370269406,-1,0,0,0,-1,1,-3,-3
64370269406,-1,-2,-3,-3,-1,3,3,-1
64370270211,-5,-1,1,-2,-2,-6,-9,-4
64370270211,5,0,3,-2,1,2,7,7
64370272087,10,13,-3,-3,-2,4,5,3
64370272087,-13,-14,-1,2,1,0,-9,-7
64370273752,8,-7,-2,-3,-2,-1,1,0
64370273752,-8,4,0,1,1,3,-6,-6
64370279465,23,1,6,0,-2,-10,-4,12
64370279465,-9,8,-5,-1,0,13,9,0
64370287251,2,13,1,0,-3,-7,4,1
64370287251,-6,-15,-5,-2,-2,5,0,-5
64370301381,-3,-2,-3,-1,-2,-2,3,1
64370301381,6,-3,-1,-3,-2,-8,-8,-4
64370309425,-3,-4,-2,1,-1,4,0,1
64370309425,0,4,-2,0,2,1,-1,-1
64370332191,-12,-4,-1,1,1,2,-3,-6
64370332191,3,1,1,-4,-5,11,0,1
64370333772,-5,2,-2,0,-3,-18,-6,-4
64370333772,2,12,3,0,-2,-7,-2,-3
64370345526,-2,-37,-17,-3,0,5,-4,14
64370345526,2,19,21,3,2,-3,-6,-22
64370387381,0,-1,-2,-2,-3,6,8,-2
64370387381,0,-2,-1,2,0,-2,-3,-5
64370388235,0,-3,-2,-1,-2,-7,-2,1
64370388235,13,-2,-6,-2,-2,-1,-1,0
64370391359,-25,-11,-3,1,2,-7,-18,-8
64370391359,0,14,12,-1,0,15,17,1
64370392022,3,1,-2,-2,-3,-7,3,1
64370392022,0,1,1,0,1,-4,-4,-2
64370398144,6,-3,-4,-3,0,2,-1,1
64370398144,0,-7,-4,-1,-1,4,3,1
64370408598,-7,2,3,-1,4,8,-3,-6
64370408598,-3,-1,1,-2,-8,-5,-1,-4
64370421423,4,4,-3,-1,1,9,2,2
64370421423,-3,-10,-1,-3,-3,-29,-10,4
64370428091,5,0,1,2,0,6,-1,-3
64370428091,-9,-1,-2,-2,-2,-8,4,4
64370435684,8,0,0,-1,-2,0,3,0
64370435684,0,5,-1,1,1,4,-4,-2
64370458765,-1,-2,-1,-2,1,-4,-2,1
64370458765,-2,-5,-2,0,1,6,4,-1
64370459498,-2,6,5,0,-2,-4,-4,-2
64370459498,0,-5,-3,-2,-5,-4,-5,3
64370474551,0,-2,-1,-2,-3,5,5,1
64370474551,-1,0,0,-2,0,2,-6,0
64370481399,5,4,2,2,4,-6,-1,2
64370481399,-4,1,-3,-2,4,10,-1,-2
64370496320,-3,-4,-11,-28,-19,-18,-6,-10
64370496320,-3,0,-5,-18,-15,7,1,-2
64370496983,1,7,31,76,45,-8,-10,-1
64370496983,-1,1,0,-3,5,6,-20,-8
64370518845,-4,-5,0,4,-3,3,-2,-1
64370518845,-3,-1,-17,-40,-18,-8,-2,-3
64370519549,-2,-7,-11,-26,-22,7,3,1
64370519549,1,2,15,38,28,-18,2,3
64370533117,0,1,-1,-2,2,4,0,2
64370533117,-1,-3,4,16,11,-11,-9,-5
64370541350,-3,-5,-13,-28,-20,5,11,1
64370541350,1,2,-5,-11,-10,9,3,0
64370556352,2,10,-8,-2,0,-7,-3,2
64370556352,-6,-14,12,8,0,-8,-5,-3
64370557091,0,0,1,-5,-5,-3,5,0
64370557091,-1,-12,-12,-11,-6,18,10,0
64370578745,-2,-1,-6,3,-3,-25,-10,-3
64370578745,2,25,28,13,9,14,1,3
64370579521,0,-6,-5,-6,-2,-15,-6,-2
64370579521,-2,2,-1,-9,-13,-1,-11,-5
64370593072,-2,-12,-9,4,14,18,9,1
64370593072,1,-3,-6,2,-18,-14,-1,6
64370601214,0,8,-2,-11,0,8,4,0
64370601214,-4,-11,-1,-5,-6,-15,-4,-5
64370616270,-3,0,5,2,1,12,-3,-2
64370616270,1,-5,-8,-4,9,7,0,3
64370616992,1,4,2,-1,-9,-10,-2,-1
64370616992,0,5,-10,-4,1,0,2,0
64370638727,-3,-4,17,17,5,-9,-7,-3
64370638727,-4,-2,-7,-9,-6,15,7,-5
64370639488,-5,-13,-21,-40,-29,-14,-6,-4
64370639488,2,5,11,42,33,-4,-1,-1
64370661887,4,3,9,3,13,5,0,6
64370661887,0,1,-2,3,10,9,1,-1
64370662656,-3,-5,-2,-8,-12,2,-1,0
64370662656,-5,-10,-21,-67,-68,-9,-2,-5
64370676823,-2,2,3,11,15,-1,-7,-1
64370676823,1,3,18,50,25,-10,11,2
64370677495,1,0,-3,-13,-2,23,5,3
64370677495,-1,1,8,13,17,-22,-8,0
64370698800,-3,-6,-11,-32,-43,-10,5,-1
64370698800,-3,-7,-18,-29,-20,2,-3,-2
64370699506,-4,-3,-4,-11,3,-12,-15,-8
64370699506,4,11,34,92,76,32,3,3
64370722055,0,0,-6,-14,-13,-14,6,2
64370722055,1,-1,0,3,8,17,12,2
64370722702,2,6,13,37,60,8,-4,-1
64370722702,-6,-13,-38,-91,-83,-14,-18,-3
64370736216,-3,-5,-18,-53,-60,-14,13,-2
64370736216,3,9,25,79,76,4,-8,0
64370737086,-1,3,15,-4,9,0,0,1
64370737086,7,7,15,34,46,40,18,8
64370758708,-7,-8,-13,-22,-36,-34,-16,-7
64370758708,-3,-11,-35,-87,-98,0,0,-2
64370759525,-1,-3,3,61,81,28,-2,-2
64370759525,0,3,12,12,-5,-21,-1,-2
64370782028,3,4,2,-5,8,20,-1,1
64370782028,-4,-7,-10,-31,-53,-26,-12,-6
64370782646,5,5,4,0,-10,-17,-9,2
64370782646,-3,-4,-6,-16,-13,17,-2,-1
64370796430,10,8,3,-15,1,16,-7,0
64370796430,5,14,26,56,92,18,5,2
64370797128,-15,-15,-10,-10,-73,13,12,3
64370797128,-2,-9,-13,-28,-23,-41,-10,-6
64370818727,4,2,3,26,53,-23,-25,-6
64370818727,13,2,-7,-31,-63,22,-7,-1
64370819450,-8,1,-6,-39,-18,-29,-11,-2
64370819450,-33,-10,12,41,59,10,16,-3
64370841956,1,10,27,77,58,37,1,0
64370841956,10,-1,-20,-5,1,-9,18,3
64370842668,0,-6,5,40,57,-17,-5,-10
64370842668,3,-14,-20,-45,-102,-20,-3,7
64370856226,-4,9,4,31,41,24,0,-6
64370856226,-4,-14,-3,-16,-49,-59,-23,-4
64370856937,21,11,-12,-68,-35,69,19,10
64370856937,-15,-8,7,71,114,16,2,-3
64370880095,9,-1,6,-17,1,0,21,6
64370880095,-2,9,-4,-19,-72,-18,-14,-12
64370880921,-64,-46,-13,2,-24,-45,-17,-18
64370880921,14,0,-8,-18,18,-39,-17,-4
64370901943,2,7,4,-25,-53,21,22,6
64370901943,37,32,13,27,98,21,4,12
64370902696,17,-5,-20,-56,-81,-16,5,10
64370902696,-9,9,2,-11,-18,9,7,-7
64370916381,-3,-25,-2,21,21,13,-26,-11
64370916381,-12,0,16,60,62,-36,-7,-2
64370917031,19,16,-11,-31,-44,32,28,13
64370917031,51,27,-2,-17,0,7,5,15
