0,-3,-12,-13,-9,-12,-15,-3
-7,-5,-4,-7,-6,-1,-2,-17
3,3,17,12,7,5,6,15
-1,-1,-11,-5,2,-1,-6,-3
-6,-7,-2,-7,-7,3,9,-1
9,8,-2,-9,-2,0,6,9
-10,-12,-10,-1,-5,-9,-12,-9
2,1,-2,-8,-5,-3,-2,-7
-6,-4,8,15,16,7,-8,-6
12,4,16,9,5,0,4,16
0,-4,-14,-14,-13,-10,-2,2
-7,-1,-13,-15,-12,-8,-12,-13
-2,0,-8,-2,1,1,-5,-6
-2,5,15,12,-1,-1,-2,-7
-6,-3,-16,-7,-3,-7,-8,3
2,-2,13,2,-3,0,-8,-13
0,-2,-6,14,19,12,20,24
6,3,-25,-14,-10,-4,-1,0
-6,2,23,0,-10,-4,-4,-14
3,7,-3,-5,1,1,3,-2
5,1,9,10,6,1,5,5
-13,-10,-12,-13,-7,-4,-21,-31
9,2,-2,9,7,10,28,38
-11,-12,-2,-8,-12,-11,-12,-8
-2,7,6,-8,-6,-8,-10,-11
-2,-9,-5,0,5,7,7,7
-5,-2,-5,-13,-12,-7,-15,-23
4,7,6,7,8,10,19,15
4,7,7,-2,-3,1,-3,-4
-10,-12,-11,-2,1,-7,-3,-7
3,-7,2,4,5,7,-1,8
1,5,17,20,13,7,13,14
-7,-6,-23,-27,-21,-14,-13,-21
-1,-1,2,14,10,8,12,13
-1,1,11,5,3,-3,-6,-5
8,5,-9,-2,2,2,0,-5
-13,-12,-11,-5,-5,-12,-16,-6
-3,-7,3,-16,-15,-2,9,5
7,7,-9,-9,-2,0,-5,0
-6,-2,17,9,4,6,3,1
-9,-13,-23,-17,-16,-7,-5,-9
-7,-4,-11,-6,-6,-7,-17,-21
27,25,38,30,27,22,39,40
-2,-8,-13,-22,-14,-1,3,-3
3,1,5,6,-2,-5,-8,10
0,3,3,6,6,3,-2,-5
-8,-6,-13,-12,-13,-11,-8,-15
-10,-5,-12,-10,-13,-13,-18,-15
11,8,18,3,-2,2,10,3
15,9,14,21,22,20,38,44
-13,-4,-4,-12,-11,-10,-21,-32
13,-1,-13,-7,1,-2,11,29
-9,-7,-11,-9,-10,-9,-21,-22
6,13,35,9,-2,-4,-6,-3
-11,-13,-24,-4,4,0,4,-4
-8,-8,-1,12,4,-1,-8,-6
5,6,3,11,15,11,10,-4
-2,-6,-11,-21,-14,-9,-6,9
0,7,9,3,-1,1,1,-3
1,1,10,15,14,4,-6,-9
1,2,1,6,0,3,5,0
-3,0,-9,3,1,1,-1,1
-3,-1,9,17,16,2,-32,-17
9,1,-2,1,1,0,13,16
-2,-5,-7,-8,-4,-2,1,12
-10,-10,-11,-10,-8,-8,-13,-18
7,-2,-11,-12,-5,0,10,5
-2,9,9,-5,-10,-9,-2,-5
-11,-12,-5,3,3,-8,-17,-5
5,5,3,-6,-10,-2,-1,-2
-1,-2,-5,-15,-15,-3,10,6
-3,1,11,16,16,8,1,0
-1,-5,-3,-2,-1,5,20,10
-4,-10,-11,-19,-14,-17,-29,-17
-8,-10,-26,-17,-13,-8,-2,3
-12,-6,-4,-4,5,0,-17,-18
11,14,26,5,-7,2,6,5
-3,-3,-10,-2,-3,-5,-5,-4
11,4,34,20,10,9,12,7
1,1,-16,-14,-10,-8,-2,10
-6,-7,-20,-14,0,7,14,1
4,11,15,4,-4,-5,-1,-4
-8,-6,-4,-4,-5,-6,-5,2
2,-1,-5,6,4,0,-14,-5
-21,-11,-14,-20,-16,-17,-10,-10
5,0,3,0,-7,1,8,1
-7,-8,-12,-1,3,3,-6,-12
-2,0,-4,-19,-17,-12,-1,-10
11,9,21,37,29,21,11,15
-3,4,-20,-3,8,4,0,-4
0,7,34,7,-6,-7,-22,-12
1,-4,5,25,18,9,11,7
1,-3,-13,-18,-7,-5,-3,11
-5,-8,-18,-20,-16,-13,-7,2
-5,0,18,5,-4,0,-15,-13
-6,-6,-15,-10,-9,-4,-3,-4
11,22,39,14,2,3,6,-6
-9,-13,-12,-5,-1,-1,-7,-6
7,-3,-28,-10,1,-3,6,17
-11,-4,5,-13,-17,-11,-10,-14
-7,-8,-17,-8,-4,-6,-9,-6
0,7,15,6,-2,0,-2,-13
3,-2,-9,10,14,11,17,9
-2,-2,-5,-4,-4,1,2,5
4,6,-1,4,3,0,-1,4
3,-1,-3,-3,-1,-1,-7,-8
-14,-16,-13,-14,-7,-8,6,0
12,6,12,16,16,19,16,16
4,1,1,24,17,7,-2,-9
-2,-8,2,9,17,13,20,15
4,13,13,10,4,0,-7,-21
-13,-8,-8,-13,-11,-11,-10,-6
16,1,1,-26,-24,0,16,20
6,9,13,17,13,10,14,8
1,-6,-25,-12,-8,-4,7,8
-4,9,28,11,-5,-2,-14,-27
-1,-12,-23,-9,3,-3,-2,14
-4,3,8,-1,-7,-6,-12,2
-7,-1,-4,-3,4,-5,-14,-20
4,-8,-8,-1,-3,3,6,12
-2,-2,-9,-2,1,2,1,-8
-1,4,25,3,-11,-6,-6,-3
8,5,-7,18,21,7,5,9
1,1,5,-1,3,-1,-4,-4
-7,-3,1,-2,-6,-7,-8,-20
0,0,-10,5,9,1,-4,4
-7,0,8,-6,-8,0,-4,-10
6,5,1,8,4,-3,-2,9
-3,-3,6,1,0,-4,-13,-10
0,1,-4,12,15,6,17,22
11,14,3,-12,-12,-2,8,5
2,3,-3,-11,-5,-3,3,0
-14,-5,-5,-5,-4,-3,-9,-16
-6,-10,1,-13,-11,-9,-6,-4
3,5,16,20,10,13,7,9
-11,-18,-23,-15,-8,-11,-5,-5
9,6,-3,-10,-9,-4,-5,9
-9,0,19,15,11,6,0,-16
-11,-25,-43,-42,-25,-12,-9,-11
7,12,8,13,1,1,3,6
-9,-13,-10,-13,-11,-11,-12,-8
1,4,19,26,22,8,-18,1
6,6,16,-9,-12,-3,3,8
-4,-4,-8,-15,-10,-5,0,-16
-6,-4,-6,17,21,12,3,-1
-7,-10,-18,-20,-18,-11,0,0
6,7,-4,-13,-9,-15,-18,5
0,1,23,12,9,18,10,-1
-1,-10,-12,-2,-1,-2,-1,-7
-10,-10,-34,-37,-26,-13,-5,-32
3,4,13,33,25,19,23,29
-1,2,14,12,7,-1,5,8
-9,-11,0,2,3,-3,-12,-11
21,11,-11,8,10,5,4,7
-12,0,0,-21,-22,-20,-25,-19
10,6,13,30,28,21,18,15
0,1,4,-17,-20,-12,-4,3
-6,-10,0,-2,-3,-2,0,-2
-9,-6,-11,-15,-11,-6,6,3
-3,35,-9,-7,-6,-9,-17,-9
0,60,6,4,7,5,0,-13
6,62,-7,-13,-13,-18,-1,17
5,47,12,26,17,11,-7,-5
-6,12,-34,-11,-1,-11,-16,-1
13,27,34,17,9,10,21,21
-2,-4,-2,-8,-4,1,-7,-9
-4,-15,-7,-5,-7,-2,5,-2
-15,-22,-2,4,3,-2,-8,-8
18,-4,-14,-5,0,0,-1,5
-3,-15,7,4,-3,-7,-12,-2
-9,-25,-9,-12,-2,4,13,-1
15,1,23,20,12,10,3,5
-14,-30,-22,-29,-25,-20,-12,-3
2,-13,-8,-21,-12,5,12,9
-3,-12,16,35,29,7,-3,-7
-10,-14,-5,-14,-7,-3,-5,-23
-1,-24,-21,-1,4,8,11,18
8,-10,16,-22,-27,-5,10,13
-6,-7,-15,-13,-11,-14,-22,-17
0,-11,10,7,4,7,10,7
3,-8,-2,12,15,3,9,4
-11,-25,-19,-23,-22,-8,-8,-14
4,1,-8,-8,-8,-7,-8,-4
-2,-8,17,20,14,9,14,8
-18,-25,-28,-27,-16,-12,-11,-8
-2,-8,9,8,4,5,8,-1
13,12,28,16,7,1,0,1
4,-8,-38,-33,-23,-16,-5,-1
-6,-8,12,8,-1,-7,-14,-10
0,1,11,29,26,11,9,-5
-7,-11,1,4,2,7,4,-5
-7,-14,-20,-39,-31,-17,-12,-4
-10,2,0,20,17,10,11,-12
13,8,32,51,37,25,9,18
12,7,1,-11,-17,-7,2,8
-8,-7,3,3,0,-6,-8,-13
2,-8,1,-6,-1,5,6,8
-8,-2,-3,-9,-9,-9,-11,-5
-2,-7,-20,-12,-10,-6,-4,0
5,-4,-10,-6,-2,7,16,11
-2,-1,21,3,-7,1,-3,-7
-11,8,-13,-12,-5,-8,-10,-21
13,5,9,6,4,5,6,17
-7,-6,-5,15,16,5,-3,3
0,4,-12,-17,-15,-11,-8,-9
-2,-2,-7,3,12,-1,-10,-13
-7,-8,-1,-26,-28,-7,9,6
18,34,37,52,37,18,8,-3
5,6,16,7,-6,-2,-2,9
-2,-18,-11,-1,0,7,4,5
0,6,-10,4,13,1,-12,-10
5,0,-5,-37,-35,-17,-9,-5
-11,0,22,8,4,5,6,-1
-12,1,-10,-9,-10,-14,-17,-21
-6,-15,-4,-10,-8,-10,-13,5
1,4,-6,0,3,-1,-13,-2
-1,10,2,9,11,4,3,-5
-4,-10,-4,-8,-8,3,2,-5
3,-7,-19,3,15,-1,-3,20
-12,-4,-3,-22,-24,-10,-1,-2
2,-6,-13,7,12,-2,-5,0
2,0,-15,-15,-15,-7,-3,-6
28,18,36,38,34,25,32,20
-22,-26,-18,3,4,-4,-22,-10
9,16,34,15,9,5,3,2
-22,-19,-22,-28,-21,-13,-7,-2
20,21,8,18,14,7,5,-8
-2,-8,-21,-20,-8,-6,3,-7
-23,-16,-28,-58,-59,-38,-36,-28
54,12,28,48,39,33,45,88
-42,-23,4,-13,-19,-20,-27,-35
-8,-1,-4,3,4,1,3,-3
3,-7,-17,-31,-28,-11,-13,-5
16,16,4,21,18,11,8,0
-5,-2,-4,-12,-8,-2,1,-3
-3,-3,-6,-12,-14,-6,-1,0
-8,-2,-27,-14,-6,-11,-11,-20
-4,0,18,20,13,9,7,8
-5,7,34,24,13,10,4,-6
-15,-10,-33,-35,-22,-19,-14,-24
15,17,14,-1,-1,6,22,18
1,-1,-11,4,6,-4,-10,1
-12,-11,-18,-18,-15,-14,-16,-11
-10,-10,12,-11,-20,-8,2,5
-4,-3,10,19,13,4,-13,-17
-7,-7,-28,-7,5,4,9,2
8,8,-9,-15,-14,-5,0,-10
7,2,-7,9,16,5,14,18
-10,-1,24,6,-1,5,18,0
12,7,1,4,2,8,9,11
10,8,-33,-14,-7,-12,-23,-12
13,6,36,9,-3,9,21,23
-10,-7,-21,13,27,12,2,-3
1,16,31,-2,-12,-15,-14,-16
-27,-15,-26,-21,-11,3,18,7
10,-4,26,24,13,12,2,-2
10,0,-11,-5,-4,-1,4,15
-29,-14,-17,-17,-4,-4,-18,-43
-6,-8,-15,-30,-25,-8,9,8
26,25,-7,13,10,4,-4,6
6,16,49,50,38,22,25,21
5,-7,-8,3,4,-2,-1,10
-10,-13,-6,-3,-3,-1,-5,-16
4,8,9,2,-1,2,12,1
8,1,-12,-17,-14,-5,-2,-8
-3,3,8,1,3,4,14,16
-6,-1,6,5,3,-1,-2,1
-6,3,-6,-6,-8,-6,-15,-13
7,-5,1,14,11,3,0,12
-12,-5,-17,-16,-5,-7,-10,-10
2,6,28,15,6,4,2,8
-8,-8,-11,0,3,-2,-10,-13
-13,-14,-6,-11,-11,-5,-10,-14
-2,2,-5,-2,1,3,12,6
-6,1,4,4,5,-4,-6,-8
-2,-25,-4,5,2,-8,-29,-9
-16,-26,-3,-16,-20,-14,-10,-5
7,-12,-7,-7,-7,-3,1,3
10,-7,0,17,15,12,7,7
-6,8,0,-10,-11,-3,12,15
-4,11,-2,2,1,-4,-13,-5
-10,10,-39,-47,-36,-24,-18,-25
-3,14,53,52,35,14,13,14
3,12,-25,-1,17,13,6,-5
5,13,-4,18,11,7,5,3
8,26,81,83,56,28,13,0
7,4,-24,-20,-13,-13,-8,-6
-2,-15,-22,-12,1,5,15,13
-12,10,23,38,30,10,-7,-28
0,0,5,-20,-23,-21,-17,8
-17,-17,-47,-17,-6,-1,-1,-7
24,28,55,24,9,6,16,15
0,-13,-39,-36,-24,-8,3,5
-12,-1,-18,-15,-8,-15,-23,-38
-19,-42,-13,-29,-28,-10,6,14
-4,11,22,38,21,15,-2,-5
55,18,10,-27,-21,1,20,38
-37,-16,-12,-6,-15,-19,-35,-41
28,13,-13,12,23,13,8,15
8,13,36,23,7,6,9,4
0,2,7,-18,-26,-7,22,13
-3,-2,20,31,26,17,13,5
4,-1,-11,-14,-5,9,21,9
-9,-15,-14,-19,-17,-16,-16,-9
2,1,0,6,8,-1,-5,-7
19,10,-20,-40,-29,-15,-11,2
-20,-9,22,32,22,13,7,-4
-2,-3,-10,-4,-1,-2,-5,1
-1,-5,-5,0,0,-6,-10,1
3,-14,-15,-5,-1,2,11,-3
5,-3,-1,-13,-13,-6,-5,3
-2,-5,-13,-17,-13,-13,-16,-22
-7,-9,-12,-2,3,1,-8,-3
6,-10,6,5,2,11,23,34
1,3,11,3,-2,-5,-3,-6
-10,0,-10,-13,-7,-2,9,-5
-6,-2,-7,-2,1,-5,-8,-5
-5,-2,-13,-16,-14,-6,-2,-1
10,4,-6,0,3,-2,-9,-7
-3,-7,1,1,5,7,7,1
-6,-6,3,1,-2,-2,-6,-1
4,-1,17,15,6,-2,-2,2
-3,0,-9,-7,0,-2,-8,-8
-1,-7,-1,1,-1,-6,-10,-4
-8,-10,-19,-11,-4,-5,-6,-3
-1,-4,7,5,1,-1,0,1
3,18,4,-2,-5,-7,-11,-11
-4,-5,-15,-14,-6,-3,-2,2
9,3,7,10,5,0,-4,11
-8,-14,-15,-7,-4,-1,3,-13
8,11,10,8,2,2,1,8
-11,25,2,-7,-6,-8,-4,-2
-2,4,6,4,2,3,-3,-2
-4,8,-8,-2,4,6,5,8
-2,5,16,5,-5,-7,-5,-5
4,-13,-5,-3,-1,-3,-4,-1
2,-4,0,-1,1,0,4,0
0,-5,-33,-18,-7,-3,-3,-4
-6,-7,39,21,2,0,0,-2
-3,-21,-18,-11,-4,-3,-1,0
-5,-6,7,4,2,0,-1,-1
6,10,18,12,4,-1,-2,6
-11,2,-4,-6,-3,-1,-4,-12
-9,-1,-6,-5,-3,-5,-8,-3
-7,-17,-15,-6,-2,-2,-4,-20
0,1,2,-3,-4,-2,4,23
11,-4,-1,-1,-1,1,3,19
9,-15,-8,0,-1,-2,-1,1
-22,6,6,4,5,10,8,2
-10,-1,2,-2,-1,0,-1,-32
-7,-3,-7,-5,-4,-2,1,-4
-8,-8,-8,-5,-1,-2,-3,-9
9,-8,-3,0,-3,-7,-5,10
-2,-18,4,2,0,-1,0,4
11,11,-12,-1,-1,-2,-2,-1
2,-3,6,1,0,-1,1,0
-3,-6,7,5,1,0,-3,-8
-2,0,-1,-2,-3,0,-3,1
0,-13,-23,-12,-4,-3,-3,-1
4,6,4,1,-1,-1,-3,4
0,6,3,4,2,1,3,0
7,-1,-5,-4,-2,-1,-1,1
0,2,-3,-5,-3,-4,-5,-4
-6,2,-2,-2,-1,-1,-3,-6
-1,-4,-17,-10,-2,-1,2,1
-1,2,8,3,-1,-3,-4,-2
1,-1,5,-1,1,0,0,-3
0,-6,0,1,2,3,6,6
8,-7,-19,-5,-1,0,1,10
2,19,34,9,1,-6,-9,-14
-6,-9,-9,-5,-5,-6,-9,-5
13,3,-7,-3,2,13,18,21
-10,1,3,6,4,1,0,-10
-1,-10,-13,-2,0,1,2,11
-3,2,-3,0,-2,-5,-3,-3
2,14,30,11,-2,-7,-7,-8
3,5,-14,-7,-5,-3,-4,-1
4,0,-6,-2,0,1,-1,-3
1,5,-4,-4,-2,-3,-3,-3
-2,-6,-12,-2,-2,-2,-1,1
-3,4,20,5,-1,-2,-1,0
2,-2,-4,0,1,-1,-2,0
0,9,-2,-2,-1,1,2,-1
-5,1,0,0,-2,0,-2,-5
2,7,8,4,1,-1,-2,-1
-1,-6,-14,-5,-2,1,-1,0
-4,-2,1,8,1,1,2,-1
-4,6,1,-10,-6,-7,-5,-9
0,-2,-3,-2,0,-2,-2,2
-4,-10,5,6,3,2,-1,5
-4,-4,-8,-2,0,1,3,-4
6,7,3,-1,2,8,6,3
-3,6,-4,-3,-1,0,6,12
1,3,4,-4,-3,-1,-2,-8
-6,-13,-12,-2,-2,-5,-5,5
-8,-1,7,6,4,0,-2,-15
1,-1,4,-2,-3,-3,-4,-4
1,6,-5,-2,-2,-1,0,0
-2,2,1,-2,0,2,-2,-3
-2,-9,-11,-3,-6,-6,-4,5
3,3,11,7,3,0,0,-3
-1,-5,-12,-7,-3,-2,-1,-3
-3,-2,17,5,5,3,4,5
0,1,1,0,2,-2,-5,0
-10,-15,-20,-6,-4,-3,-2,-9
0,2,13,3,-2,-2,-2,2
6,1,-2,-4,1,1,1,1
-1,-1,-15,-5,-2,-2,-3,7
2,7,12,3,0,4,4,-13
-14,-10,-15,-1,0,-2,0,1
-4,-17,-7,-10,-5,-3,-3,-8
5,13,0,-3,-4,-7,-7,7
1,3,2,1,2,-1,-5,-2
