59854569802,-1,-3,-5,-1,-2,0,0,0
59854569802,-2,-1,-3,0,1,-2,0,0
59854570645,1,-3,-5,-3,-1,-1,-1,0
59854570645,2,-2,-3,-4,1,-2,-2,0
59854577838,1,0,-2,-1,0,0,0,0
59854577838,0,-3,-4,-1,0,-1,-1,-1
59854580686,0,-1,-4,-1,-1,-1,-2,-1
59854580686,-1,-1,-2,-3,-4,1,0,-1
59854591463,-1,-2,-3,-4,-2,-2,-4,0
59854591463,0,-1,-5,-3,-2,-1,-1,-1
59854599240,0,-2,-2,-2,-1,-3,-1,-2
59854599240,-3,-2,-1,-1,-3,-2,-3,-2
59854606433,-1,1,-1,0,-1,1,2,-1
59854606433,1,0,0,-3,-2,-1,-1,1
59854621471,-2,1,0,-2,-2,0,2,-1
59854621471,-4,-1,-1,1,0,-1,-1,-2
59854627737,-2,-1,-2,0,0,0,0,-2
59854627737,-2,-1,0,-2,0,-2,-2,-2
59854639263,-2,-1,-3,-2,-2,-2,0,-1
59854639263,0,-1,-3,0,-1,-1,-1,-1
59854651463,0,-2,0,-1,0,-3,-3,-2
59854651463,-2,0,0,0,0,1,1,-1
59854659237,-2,-1,1,-1,1,-1,0,-1
59854659237,-2,-2,-2,-1,0,-2,0,-2
59854705900,-2,-1,-2,-2,-1,-1,1,0
59854705900,-1,-1,-1,1,-2,-2,0,1
59854706718,-3,0,-2,0,0,-1,1,1
59854706718,-1,-2,-1,-1,-1,-2,0,-1
59854707541,0,-2,0,-1,-1,-1,-2,-1
59854707541,1,0,0,0,2,-1,0,-3
59854710105,1,-3,-4,-2,-2,-2,-4,-2
59854710105,0,-3,-3,-1,-2,-2,-4,-2
59854719010,-1,-3,-5,-1,-3,-4,-2,-3
59854719010,-2,-2,-7,-1,-4,-3,-2,-2
59854724945,-2,-1,-4,1,-3,-2,-1,-4
59854724945,-3,-3,-3,-1,-3,-2,-1,-4
59854734037,-2,-2,-1,-1,-4,0,-1,0
59854734037,-1,-2,-2,-3,-2,-2,-2,1
59854747640,-2,-2,0,0,0,0,-1,-1
59854747640,-2,-2,0,0,-2,1,-2,-1
59854756456,-2,-2,0,-2,-2,-3,-2,-3
59854756456,-1,-4,-1,2,-1,-2,-1,-4
59854762535,0,0,0,-1,-2,-2,-1,-2
59854762535,0,1,0,0,1,-2,-1,-1
59854777603,-3,1,1,0,3,-1,-1,-1
59854777603,-3,-1,-1,1,-2,-1,-3,-2
59854785064,-1,-1,2,-1,1,-1,-1,-1
59854785064,-1,0,1,0,-3,-2,-2,-1
59854793989,0,3,3,0,0,-1,0,-1
59854793989,-1,1,3,-2,0,-1,-1,-1
59854807496,-1,-2,1,0,-2,-1,-1,-2
59854807496,-2,3,2,-1,-1,-2,-1,-2
59854816481,-1,-1,4,1,0,1,-1,-1
59854816481,-1,2,3,1,0,0,-1,0
59854822615,-2,1,4,0,0,1,-3,1
59854822615,-1,2,2,0,1,0,1,-1
59854837479,-1,-1,0,3,1,-2,2,-2
59854837479,-2,1,4,1,0,-1,-2,0
59854845181,-2,-1,2,0,0,-2,-2,-2
59854845181,-1,-1,2,-1,-1,-1,-1,1
59854853928,-2,-3,0,-1,0,3,0,1
59854853928,0,-3,2,-1,4,1,2,-1
59854867577,0,2,4,2,1,0,2,1
59854867577,0,-1,3,0,1,2,-1,0
59854876518,1,3,1,-1,-1,0,-1,0
59854876518,-1,2,1,-3,-1,0,0,0
59854882503,-2,0,-1,-1,-1,1,-2,0
59854882503,-1,-1,-1,0,0,-1,-1,-1
59854897593,-3,1,-2,-2,-1,-2,-2,-2
59854897593,-2,-1,-2,-2,-2,-1,0,1
59854905116,1,-1,-1,-3,-2,-1,-1,0
59854905116,-2,0,-1,-2,-3,-1,-1,1
59854913958,0,-1,0,-1,0,-1,-1,0
59854913958,-3,-1,-1,-2,-1,-1,-1,-2
59854927575,-1,-1,-3,-3,-2,-1,-2,-2
59854927575,-2,-4,-1,-1,-1,-1,0,0
59854936430,-1,-1,-1,-1,-1,0,-1,-1
